# Mass[Msun], Znp[1e-61 erg]
1.02479625595094, 4.507679971323768
1.0380510503241078, 4.46629247759423
1.0513058446972754, 4.402709042551095
1.064560639070443, 4.34392472995415
1.0778154334436107, 4.285140417357198
1.0910702278167783, 4.228755665983346
1.104325022189946, 4.169971353386394
1.1175798165631137, 4.111187040789442
1.1308346109362812, 4.050003166969404
1.1440894053094488, 3.996017976818635
1.1573441996826166, 3.9444323478909595
1.1705989940557844, 3.895246280186374
1.183853788428952, 3.8412610900356086
1.1971085828021195, 3.7920750223310193
1.210363377175287, 3.7380898321802505
1.2236181715484546, 3.6937028869218445
1.2368729659216224, 3.654115064109625
1.2501277602947902, 3.604928996405036
1.2633825546679578, 3.5629416123697233
1.2766373490411254, 3.5161551058882274
1.289892143414293, 3.474167721852915
1.3031469377874607, 3.4369794602637853
1.3164017321606283, 3.3949920762284655
1.329656526533796, 3.3506051309700595
1.3429113209069636, 3.3110173081578367
1.3561661152801312, 3.2714294853456103
1.3694209096532988, 3.231841662533391
1.3826757040264666, 3.189854278498075
1.3959304983996343, 3.1598647005782183
1.409185292772802, 3.117877316542902
1.4224400871459695, 3.147876769200309
1.4365383684337933, 3.0795381542930613
1.4622044702654724, 2.97152383140946
1.4754592646386402, 2.9463333759357795
1.4887140590118078, 2.9043459919004633
1.5019688533849753, 2.876755975203693
1.5152236477581429, 2.846766397283833
1.5284784421313107, 2.81197769691779
1.5417332365044785, 2.7867872414441095
1.554988030877646, 2.744799857408797
1.5682428252508136, 2.7292076468274793
1.5814976196239812, 2.708816313799982
1.5923424513838458, 2.707838714783165
1.6104171709836197, 2.6270238627264817
1.6236719653567873, 2.5850364786911726
1.636926759729955, 2.5646451456636754
1.6501815541031228, 2.5274568840745317
1.6634363484762904, 2.504665989823941
1.676691142849458, 2.467477728234819
1.6899459372226255, 2.4518855176535013
1.703200731595793, 2.4194963785105514
1.7164555259689611, 2.403904167929227
1.7297103203421287, 2.364316345117004
1.7429651147152962, 2.339125889643327
1.7562199090884638, 2.304337189277277
1.7694747034616314, 2.286345417472873
1.782729497834799, 2.2491571558837435
1.795984292207967, 2.197571526956068
1.8092390865811345, 2.208374489828742
1.822493880954302, 2.1855835955781515
1.8357486753274697, 2.1603931401044747
1.8490034697006372, 2.130403562184611
1.8622582640738052, 2.1148113516032936
1.8755130584469728, 2.0752235287910707
1.8887678528201404, 2.0596313182097603
1.902022647193308, 2.039239985182256
1.9152774415664755, 2.018848652154759
1.928532235939643, 1.9912586354579886
1.941787030312811, 1.9636686187612185
1.9550418246859786, 1.933679040841355
1.9682966190591462, 1.908488585367678
1.9815514134323138, 1.8904968135632672
1.989986282578875, 1.880138213880052
